FEATURES_DESC_006A,FACILITY_CARRIED_007,LAT_016,LONG_017,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,ADT_029,APPR_WIDTH_MT_032,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,CHANNEL_COND_061,CULVERT_COND_062,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,PERCENT_ADT_TRUCK_109,Culvert_Damage,SVCYR,ADT,Reconst,PTRUCK
'MILL CREEK              ','FM 2251           ',31233831,94435352,1957,2,1200,7.9,7.9,3,6.4,0,0,6,7,0,0,2011,15,0,7,1200,1,15
'CEDAR CREEK             ','LP 287            ',31191538,94451490,1961,4,32040,23.8,12.2,3.7,11.6,23.8,43.7,6,6,1,0,1980,13,1,38,32040,1,13
'HURRICANE CREEK         ','SL 287            ',31182625,94440108,1962,4,30840,24.1,12.2,3.7,15.2,0,0,6,6,1,0,1980,5,1,38,30840,1,5
'DRAW                    ','LP 287            ',31221486,94433896,1971,4,11820,24.4,12.2,3,16.2,24.4,38.8,5,6,1,0,0,7,1,47,11820,0,7
'DRAW                    ','LP 287            ',31221614,94435275,1971,4,11820,24.4,12.2,3,16.2,24.4,38.8,6,7,1,0,0,7,0,47,11820,0,7
'SHIREY CREEK            ','LP 287 & US 59    ',31213191,94415845,1971,6,30000,35.1,12.2,3,6.4,0,0,6,6,1,0,0,13,1,47,30000,0,13
'HURICANE CREEK RELIEF   ','FM 819            ',31173930,94441542,1990,2,10610,12.2,13.4,1.5,11.9,13.4,14,7,6,0,0,0,3,1,28,10610,0,3
'JACK CREEK              ','FM 3150           ',31211171,94475081,1969,2,1920,8.5,9.8,3,12.8,9.8,10.2,6,7,0,0,0,3,0,49,1920,0,3
'RED BAYOU               ','CHEESELAND RD     ',31275194,94550200,2001,2,75,4.9,7.2,3,12.5,7.2,7.9,6,7,0,0,0,0,0,17,75,0,0
'GILLILAND CREEK         ','GILLILAND CREEK RD',31190829,94285962,1992,2,221,4.9,4.9,2.4,9.4,0,0,5,5,0,0,0,0,1,26,221,0,0
'BUCK CREEK              ','PAHAL RD          ',31131068,94364567,1992,2,55,3.7,3.7,3,6.7,0,0,6,6,0,0,0,0,1,26,55,0,0
'BEAR CREEK              ','OLD BURKE RD      ',31104316,94404374,1992,2,158,4.3,8.4,2.7,7,0,0,6,6,0,0,0,0,1,26,158,0,0
'BRADLEY BRANCH          ','NEYLAND RD        ',31153542,94463242,1996,2,55,4,7.2,2.7,6.7,7.2,7.9,6,7,0,0,0,0,0,22,55,0,0
'ZED CREEK               ','ZED CREEK RD      ',31170993,94472689,1996,2,55,4.9,7.3,2.4,8.8,7.3,9,6,7,0,0,0,0,0,22,55,0,0
'CRAWFORD CREEK TRIBUTARY','LANDRUM RD        ',31215270,94503846,1992,2,55,4.9,5.8,2.7,7,0,0,6,6,0,0,0,0,1,26,55,0,0
'ROWAN CREEK             ','OLD BONNER RD     ',31230956,94534355,1998,1,84,5.5,5.5,2.7,6.7,0,0,6,6,0,0,0,0,1,20,84,0,0
'SANDY CREEK             ','SANDY CREEK RD    ',31070287,94272440,1996,2,55,3.7,5.5,2.7,6.4,0,0,6,6,0,0,0,0,1,22,55,0,0
'GREEN CREEK             ','GREEN CRK/USFS 302',31054342,94184518,1975,1,84,3.7,4.3,3,14,4.3,4.7,5,6,0,0,0,0,1,43,84,0,0
'BURRIS CREEK            ','WEAVER BEND RD    ',31051565,94302301,1992,2,84,4.3,7.2,2.7,7.3,0,0,6,5,0,0,0,0,1,26,84,0,0
'BUNCOMBE CREEK          ','CR49G (BEASLEY RD)',31213814,94532093,2001,1,55,3.7,4.3,2.7,6.1,0,0,6,6,0,0,0,0,1,17,55,0,0
